📡　央视,#genre#
CCTV13新闻,http://120.198.101.106:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://120.198.101.106:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://120.198.101.106:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://120.198.101.106:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://120.198.101.106:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://120.198.101.106:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://120.198.101.106:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://120.198.101.106:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://120.198.101.106:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://120.198.101.106:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://120.198.101.106:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://120.198.101.106:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://120.198.101.106:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://120.198.101.106:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://110.80.17.38:9999/tsfile/live/0013_1.m3u8
CCTV12社会与法,http://110.80.17.38:9999/tsfile/live/0012_1.m3u8
CCTV10科教,http://110.80.17.38:9999/tsfile/live/0010_1.m3u8
CCTV9纪录,http://110.80.17.38:9999/tsfile/live/0009_1.m3u8
CCTV8电视剧,http://110.80.17.38:9999/tsfile/live/0008_1.m3u8
CCTV7国防军事,http://110.80.17.38:9999/tsfile/live/0007_1.m3u8
CCTV6电影,http://110.80.17.38:9999/tsfile/live/0006_1.m3u8
CCTV5体育,http://110.80.17.38:9999/tsfile/live/0005_1.m3u8
CCTV4中文国际,http://110.80.17.38:9999/tsfile/live/0004_1.m3u8
CCTV3综艺,http://110.80.17.38:9999/tsfile/live/0003_1.m3u8
CCTV2财经,http://110.80.17.38:9999/tsfile/live/0002_1.m3u8
CCTV1综合,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8
CCTV1综合,http://60.174.40.117:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://60.174.40.117:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://60.174.40.117:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://60.174.40.117:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://60.174.40.117:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://60.174.40.117:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://60.174.40.117:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://60.174.40.117:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://60.174.40.117:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://60.174.40.117:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://60.174.40.117:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://60.174.40.117:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://60.174.40.117:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://60.174.40.117:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://60.174.40.117:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://60.174.40.117:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://111.9.163.109:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://111.9.163.109:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://111.9.163.109:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://111.9.163.109:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://222.169.85.8:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://222.169.85.8:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://222.169.85.8:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://222.169.85.8:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17农业农村,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://222.169.85.8:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://222.169.85.8:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://222.169.85.8:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://218.89.240.144:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://218.89.240.144:59901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://218.89.240.144:59901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://218.89.240.144:59901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://218.89.240.144:59901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://218.89.240.144:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://218.89.240.144:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://218.89.240.144:59901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://218.89.240.144:59901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://218.89.240.144:59901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://218.89.240.144:59901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17农业农村,http://218.89.240.144:59901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://218.89.240.144:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://218.89.240.144:59901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://218.89.240.144:59901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://59.39.89.130:60901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://59.39.89.130:60901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://59.39.89.130:60901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://59.39.89.130:60901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://59.39.89.130:60901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://111.9.163.109:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://111.9.163.109:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://111.9.163.109:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://111.9.163.109:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://111.9.163.109:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://111.9.163.109:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://111.9.163.109:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7国防军事,http://112.123.243.37:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12社会与法,http://112.123.243.37:50085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6电影,http://112.123.243.37:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15音乐,http://112.123.243.37:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2财经,http://112.123.243.37:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8电视剧,http://112.123.243.37:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11戏曲,http://112.123.243.37:50085/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13新闻,http://112.123.243.37:50085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+体育赛事,http://112.123.243.37:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4中文国际,http://112.123.243.37:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10科教,http://112.123.243.37:50085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1综合,http://112.123.243.37:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5体育,http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV兵器科技,http://43.143.254.239:36326/hls/87/index.m3u8
CCTV世界地理,http://43.143.254.239:36326/hls/88/index.m3u8
CCTV央视台球,http://43.143.254.239:36326/hls/74/index.m3u8
CCTV怀旧剧场,http://43.143.254.239:36326/hls/82/index.m3u8
CCTV怀旧剧场,http://43.143.254.239:55232/hls/79/index.m3u8
CCTV央视文化精品,http://43.143.254.239:36326/hls/91/index.m3u8
CCTV电视指南,http://43.143.254.239:36326/hls/79/index.m3u8
CCTV第一剧场,http://43.143.254.239:55232/hls/77/index.m3u8
CCTV第一剧场,http://43.143.254.239:36326/hls/80/index.m3u8
CCTV风云剧场,http://43.143.254.239:36326/hls/81/index.m3u8
CCTV风云剧场,http://43.143.254.239:55232/hls/78/index.m3u8
CCTV风云足球,http://43.143.254.239:36326/hls/84/index.m3u8
CCTV风云音乐,http://43.143.254.239:55232/hls/80/index.m3u8
CCTV风云音乐,http://43.143.254.239:36326/hls/83/index.m3u8
CCTV高尔夫网球,http://43.143.254.239:36326/hls/85/index.m3u8
CCTV9纪录,http://113.26.202.52:1299/tsfile/live/0009_1.m3u8
CCTV1综合,http://113.26.202.52:1299/tsfile/live/0001_1.m3u8
CCTV6电影,http://113.26.202.52:1299/tsfile/live/0006_1.m3u8
CCTV2财经,http://113.26.202.52:1299/tsfile/live/0002_1.m3u8
CCTV5+体育赛事,http://113.26.202.52:1299/tsfile/live/0016_1.m3u8
CCTV7国防军事,http://113.26.202.52:1299/tsfile/live/0007_1.m3u8
CCTV10科教,http://113.26.202.52:1299/tsfile/live/0010_1.m3u8
CCTV5体育,http://113.26.202.52:1299/tsfile/live/0005_1.m3u8
CCTV8电视剧,http://113.26.202.52:1299/tsfile/live/0008_1.m3u8
CCTV14少儿,http://113.26.202.52:1299/tsfile/live/0014_1.m3u8
CCTV13新闻,http://61.184.46.85:9901/tsfile/live/0013_1.m3u8
CCTV2财经,http://113.15.109.216:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://113.15.109.216:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://113.15.109.216:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://113.15.109.216:59901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://113.15.109.216:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://113.15.109.216:59901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://113.15.109.216:59901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://113.15.109.216:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://113.15.109.216:59901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://113.15.109.216:59901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://183.131.246.250:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://183.131.246.250:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://183.131.246.250:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://183.131.246.250:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://183.131.246.250:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://183.131.246.250:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://223.241.247.214:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://223.241.247.214:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://223.241.247.214:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://223.241.247.214:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://61.138.128.226:19901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://61.138.128.226:19901/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://61.138.128.226:19901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://61.138.128.226:19901/tsfile/live/0013_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://61.138.128.226:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://61.138.128.226:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://61.138.128.226:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://61.138.128.226:19901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://61.138.128.226:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://110.7.130.27:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://110.7.130.27:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://60.208.113.114:4666/newlive/live/hls/2/live.m3u8
CCTV3综艺,http://60.208.113.114:4666/newlive/live/hls/3/live.m3u8
CCTV4中文国际,http://60.208.113.114:4666/newlive/live/hls/4/live.m3u8
CCTV6电影,http://60.208.113.114:4666/newlive/live/hls/7/live.m3u8
CCTV7国防军事,http://60.208.113.114:4666/newlive/live/hls/8/live.m3u8
CCTV5体育,http://60.208.113.114:4666/newlive/live/hls/5/live.m3u8
CCTV5+体育赛事,http://60.208.113.114:4666/newlive/live/hls/6/live.m3u8
CCTV10科教,http://60.208.113.114:4666/newlive/live/hls/11/live.m3u8
CCTV12社会与法,http://60.208.113.114:4666/newlive/live/hls/13/live.m3u8
CCTV14少儿,http://60.208.113.114:4666/newlive/live/hls/15/live.m3u8
CCTV15音乐,http://60.208.113.114:4666/newlive/live/hls/16/live.m3u8
CCTV17农业农村,http://60.208.113.114:4666/newlive/live/hls/17/live.m3u8
CCTV4中文国际,http://218.13.170.98:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://218.13.170.98:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://218.13.170.98:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://218.13.170.98:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://113.57.93.165:9900/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://113.57.93.165:9900/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://113.57.93.165:9900/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://113.57.93.165:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://113.57.93.165:9900/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
CCTV重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
CCTV重温经典,https://cdn3.163189.xyz/live/cwjd/stream.m3u8
CCTV世界地理,http://183.11.239.36:808/hls/11/index.m3u8
CCTV央视文化精品,http://183.11.239.36:808/hls/97/index.m3u8
CCTV风云音乐,http://183.11.239.36:808/hls/99/index.m3u8
CCTV风云剧场,http://183.11.239.36:808/hls/95/index.m3u8
CCTV高尔夫网球,http://183.11.239.36:808/hls/174/index.m3u8
CCTV电视指南,http://183.11.239.36:808/hls/13/index.m3u8
CCTV4美洲,http://t.061899.xyz/tl/dq.php?id=cctv4m
CCTV4欧洲,http://t.061899.xyz/tl/dq.php?id=cctv4o
CCTV4美洲,http://gmxw.7766.org:808/hls/71/index.m3u8
